Year,State,Measure
YEAR,STATE,RATE
2021,AL,15.8
2021,AK,30.8
2021,AZ,19.5
2021,AR,20.6
2021,CA,10.1
2021,CO,22.8
2021,CT,10.0
2021,DE,13.6
2021,FL,14.0
2021,GA,15.3
2021,HI,13.7
2021,ID,20.5
2021,IL,11.1
2021,IN,16.4
2021,IA,17.5
2021,KS,19.4
2021,KY,17.9
2021,LA,14.8
2021,ME,19.5
2021,MD,9.7
2021,MA,8.0
2021,MI,14.3
2021,MN,13.9
2021,MS,16.2
2021,MO,18.7
2021,MT,32.0
2021,NE,15.0
2021,NV,21.5
2021,NH,15.1
2021,NJ,7.1
2021,NM,25.0
2021,NY,7.9
2021,NC,13.2
2021,ND,20.8
2021,OH,14.6
2021,OK,22.1
2021,OR,19.5
2021,PA,13.9
2021,RI,10.3
2021,SC,15.2
2021,SD,23.2
2021,TN,17.0
2021,TX,14.2
2021,UT,20.1
2021,VT,20.3
2021,VA,13.2
2021,WA,15.3
2021,WV,20.6
2021,WI,15.1
2021,WY,32.3
2020,AL,16.0
2020,AK,27.5
2020,AZ,17.6
2020,AR,19.0
2020,CA,10.0
2020,CO,21.5
2020,CT,9.3
2020,DE,12.3
2020,FL,13.2
2020,GA,13.7
2020,HI,12.9
2020,ID,23.2
2020,IL,10.5
2020,IN,15.0
2020,IA,18.0
2020,KS,18.4
2020,KY,17.7
2020,LA,13.7
2020,ME,16.4
2020,MD,9.2
2020,MA,8.4
2020,MI,14.0
2020,MN,13.1
2020,MS,13.9
2020,MO,18.2
2020,MT,26.1
2020,NE,14.9
2020,NV,18.2
2020,NH,16.4
2020,NJ,7.1
2020,NM,24.2
2020,NY,8.0
2020,NC,13.2
2020,ND,18.2
2020,OH,13.8
2020,OK,21.9
2020,OR,18.3
2020,PA,12.6
2020,RI,8.5
2020,SC,16.3
2020,SD,21.0
2020,TN,17.2
2020,TX,13.3
2020,UT,20.8
2020,VT,18.1
2020,VA,13.5
2020,WA,15.2
2020,WV,19.4
2020,WI,14.5
2020,WY,30.5
2019,AL,16.3
2019,AK,28.5
2019,AZ,18.7
2019,AR,18.0
2019,CA,10.7
2019,CO,22.1
2019,CT,11.4
2019,DE,11.3
2019,FL,14.5
2019,GA,14.6
2019,HI,15.5
2019,ID,20.4
2019,IL,10.9
2019,IN,14.2
2019,IA,16.7
2019,KS,18.2
2019,KY,16.5
2019,LA,15.0
2019,ME,19.4
2019,MD,10.3
2019,MA,8.7
2019,MI,14.3
2019,MN,14.4
2019,MS,14.4
2019,MO,18.2
2019,MT,26.2
2019,NE,16.1
2019,NV,19.8
2019,NH,17.5
2019,NJ,8.0
2019,NM,24.0
2019,NY,8.3
2019,NC,12.5
2019,ND,18.1
2019,OH,15.1
2019,OK,20.5
2019,OR,20.4
2019,PA,14.1
2019,RI,10.7
2019,SC,16.2
2019,SD,20.9
2019,TN,17.2
2019,TX,13.4
2019,UT,21.2
2019,VT,16.0
2019,VA,12.8
2019,WA,15.9
2019,WV,18.5
2019,WI,14.0
2019,WY,29.3
2018,AL,16.5
2018,AK,24.6
2018,AZ,19.2
2018,AR,18.3
2018,CA,10.9
2018,CO,21.9
2018,CT,10.6
2018,DE,11.4
2018,FL,15.2
2018,GA,14.6
2018,HI,11.9
2018,ID,23.9
2018,IL,11.3
2018,IN,16.0
2018,IA,15.5
2018,KS,19.3
2018,KY,17.5
2018,LA,15.1
2018,ME,18.5
2018,MD,10.2
2018,MA,9.9
2018,MI,15.0
2018,MN,13.1
2018,MS,13.8
2018,MO,19.5
2018,MT,24.9
2018,NE,13.4
2018,NV,20.8
2018,NH,19.4
2018,NJ,8.3
2018,NM,25.0
2018,NY,8.3
2018,NC,13.7
2018,ND,19.2
2018,OH,15.3
2018,OK,20.0
2018,OR,19.0
2018,PA,14.9
2018,RI,9.5
2018,SC,15.4
2018,SD,19.3
2018,TN,16.6
2018,TX,13.7
2018,UT,22.2
2018,VT,18.8
2018,VA,14.0
2018,WA,15.9
2018,WV,21.2
2018,WI,14.8
2018,WY,25.2
2017,AL,16.6
2017,AK,27.0
