FullGeoName_x,YEAR_x,STATE,RATE_x,DEATHS_x,FullGeoName_y,YEAR_y,RATE_y,DEATHS_y,URL
Al,2021,AL,15.8,827,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2021,AL,15.8,827,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2021,AL,15.8,827,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2021,AL,15.8,827,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2021,AL,15.8,827,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2021,AL,15.8,827,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2021,AL,15.8,827,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2021,AL,15.8,827,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2021,AL,15.8,827,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2020,AL,16.0,793,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2020,AL,16.0,793,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2020,AL,16.0,793,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2020,AL,16.0,793,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2020,AL,16.0,793,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2020,AL,16.0,793,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2020,AL,16.0,793,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2020,AL,16.0,793,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2020,AL,16.0,793,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2019,AL,16.3,804,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2019,AL,16.3,804,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2019,AL,16.3,804,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2019,AL,16.3,804,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2019,AL,16.3,804,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2019,AL,16.3,804,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2019,AL,16.3,804,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2019,AL,16.3,804,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2019,AL,16.3,804,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2018,AL,16.5,823,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2018,AL,16.5,823,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2018,AL,16.5,823,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2018,AL,16.5,823,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2018,AL,16.5,823,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2018,AL,16.5,823,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2018,AL,16.5,823,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2018,AL,16.5,823,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2018,AL,16.5,823,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2017,AL,16.6,836,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2017,AL,16.6,836,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2017,AL,16.6,836,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2017,AL,16.6,836,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2017,AL,16.6,836,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2017,AL,16.6,836,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2017,AL,16.6,836,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2017,AL,16.6,836,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2017,AL,16.6,836,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2016,AL,15.7,788,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2016,AL,15.7,788,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2016,AL,15.7,788,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2016,AL,15.7,788,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2016,AL,15.7,788,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2016,AL,15.7,788,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2016,AL,15.7,788,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2016,AL,15.7,788,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2016,AL,15.7,788,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2015,AL,14.9,750,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2015,AL,14.9,750,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2015,AL,14.9,750,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2015,AL,14.9,750,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2015,AL,14.9,750,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2015,AL,14.9,750,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2015,AL,14.9,750,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2015,AL,14.9,750,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2015,AL,14.9,750,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2014,AL,14.5,715,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2014,AL,14.5,715,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2014,AL,14.5,715,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2014,AL,14.5,715,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2014,AL,14.5,715,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2014,AL,14.5,715,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2014,AL,14.5,715,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2014,AL,14.5,715,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2014,AL,14.5,715,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Al,2005,AL,11.5,535,Al,2021,15.8,827,/nchs/pressroom/states/alabama/al.htm
Al,2005,AL,11.5,535,Al,2020,16.0,793,/nchs/pressroom/states/alabama/al.htm
Al,2005,AL,11.5,535,Al,2019,16.3,804,/nchs/pressroom/states/alabama/al.htm
Al,2005,AL,11.5,535,Al,2018,16.5,823,/nchs/pressroom/states/alabama/al.htm
Al,2005,AL,11.5,535,Al,2017,16.6,836,/nchs/pressroom/states/alabama/alabama.htm
Al,2005,AL,11.5,535,Al,2016,15.7,788,/nchs/pressroom/states/alabama/alabama.htm
Al,2005,AL,11.5,535,Al,2015,14.9,750,/nchs/pressroom/states/alabama/alabama.htm
Al,2005,AL,11.5,535,Al,2014,14.5,715,/nchs/pressroom/states/alabama/alabama.htm
Al,2005,AL,11.5,535,Al,2005,11.5,535,/nchs/pressroom/states/alabama/alabama.htm
Ak,2021,AK,30.8,220,Ak,2021,30.8,220,/nchs/pressroom/states/alaska/ak.htm
Ak,2021,AK,30.8,220,Ak,2020,27.5,204,/nchs/pressroom/states/alaska/ak.htm
Ak,2021,AK,30.8,220,Ak,2019,28.5,210,/nchs/pressroom/states/alaska/ak.htm
Ak,2021,AK,30.8,220,Ak,2018,24.6,184,/nchs/pressroom/states/alaska/ak.htm
Ak,2021,AK,30.8,220,Ak,2017,27.0,200,/nchs/pressroom/states/alaska/alaska.htm
Ak,2021,AK,30.8,220,Ak,2016,25.8,193,/nchs/pressroom/states/alaska/alaska.htm
Ak,2021,AK,30.8,220,Ak,2015,26.9,201,/nchs/pressroom/states/alaska/alaska.htm
Ak,2021,AK,30.8,220,Ak,2014,22.1,167,/nchs/pressroom/states/alaska/alaska.htm
Ak,2021,AK,30.8,220,Ak,2005,19.9,131,/nchs/pressroom/states/alaska/alaska.htm
Ak,2020,AK,27.5,204,Ak,2021,30.8,220,/nchs/pressroom/states/alaska/ak.htm
Ak,2020,AK,27.5,204,Ak,2020,27.5,204,/nchs/pressroom/states/alaska/ak.htm
Ak,2020,AK,27.5,204,Ak,2019,28.5,210,/nchs/pressroom/states/alaska/ak.htm
Ak,2020,AK,27.5,204,Ak,2018,24.6,184,/nchs/pressroom/states/alaska/ak.htm
Ak,2020,AK,27.5,204,Ak,2017,27.0,200,/nchs/pressroom/states/alaska/alaska.htm
Ak,2020,AK,27.5,204,Ak,2016,25.8,193,/nchs/pressroom/states/alaska/alaska.htm
Ak,2020,AK,27.5,204,Ak,2015,26.9,201,/nchs/pressroom/states/alaska/alaska.htm
Ak,2020,AK,27.5,204,Ak,2014,22.1,167,/nchs/pressroom/states/alaska/alaska.htm
Ak,2020,AK,27.5,204,Ak,2005,19.9,131,/nchs/pressroom/states/alaska/alaska.htm
Ak,2019,AK,28.5,210,Ak,2021,30.8,220,/nchs/pressroom/states/alaska/ak.htm
Ak,2019,AK,28.5,210,Ak,2020,27.5,204,/nchs/pressroom/states/alaska/ak.htm
Ak,2019,AK,28.5,210,Ak,2019,28.5,210,/nchs/pressroom/states/alaska/ak.htm
Ak,2019,AK,28.5,210,Ak,2018,24.6,184,/nchs/pressroom/states/alaska/ak.htm
Ak,2019,AK,28.5,210,Ak,2017,27.0,200,/nchs/pressroom/states/alaska/alaska.htm
Ak,2019,AK,28.5,210,Ak,2016,25.8,193,/nchs/pressroom/states/alaska/alaska.htm
Ak,2019,AK,28.5,210,Ak,2015,26.9,201,/nchs/pressroom/states/alaska/alaska.htm
Ak,2019,AK,28.5,210,Ak,2014,22.1,167,/nchs/pressroom/states/alaska/alaska.htm
Ak,2019,AK,28.5,210,Ak,2005,19.9,131,/nchs/pressroom/states/alaska/alaska.htm
Ak,2018,AK,24.6,184,Ak,2021,30.8,220,/nchs/pressroom/states/alaska/ak.htm
Ak,2018,AK,24.6,184,Ak,2020,27.5,204,/nchs/pressroom/states/alaska/ak.htm
Ak,2018,AK,24.6,184,Ak,2019,28.5,210,/nchs/pressroom/states/alaska/ak.htm
